Title,Artist,Genre,Year,Beats_Per_Minute,Energy,Danceability,Liveness,Valence,Duration,Acousticness,Popularity
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,Pop,2017,81,67,61,17,81,289,6,77
Praying,Kesha,Pop,2017,73,39,58,11,32,230,49,77
Despacito - Remix,Luis Fonsi,Latin,2017,178,82,65,10,82,229,23,76
The Greatest,Sia,Australian Dance,2017,192,73,67,6,73,210,1,76
There for You,Martin Garrix,Big Room,2017,106,64,61,12,13,222,12,76
Paris,The Chainsmokers,Electronic,2017,100,64,65,9,25,222,2,76
Crying in the Club,Camila Cabello,Pop,2017,85,62,33,16,60,216,33,75
Mama,Jonas Blue,Pop,2017,104,79,74,5,57,184,10,75
Slide (feat. Frank Ocean & Migos),Calvin Harris,Pop,2017,104,80,74,25,51,231,50,75
Swish Swish,Katy Perry,Pop,2017,120,71,84,10,57,243,2,73
Chained To The Rhythm,Katy Perry,Pop,2017,190,80,45,20,47,238,8,72
Cold (feat. Future),Maroon 5,Pop,2017,100,72,69,5,41,234,14,72
Love,Lana Del Rey,Pop,2017,99,37,53,11,23,273,49,72
Reggaetón Lento (Remix),CNCO,Boy Band,2017,94,91,53,10,62,189,15,71
First Time,Kygo,Electronic,2017,90,59,63,10,68,194,20,71
The Cure,Lady Gaga,Pop,2017,100,51,70,9,52,211,8,71
"How Far I'll Go - From ""Moana""",Alessia Cara,R&B,2017,181,54,31,7,16,176,16,71
Bodak Yellow,Cardi B,Pop,2017,125,72,93,35,46,224,7,70
Rich Love (with Seeb),OneRepublic,Pop,2017,105,87,40,36,47,201,17,70
Tired,Alan Walker,Electronic,2017,124,88,69,15,49,192,4,70
Came Here for Love,Sigala,Pop,2017,125,87,71,12,72,203,3,70
24K Magic,Bruno Mars,Pop,2017,107,80,82,15,63,226,3,69
Strip That Down (feat. Quavo),Liam Payne,Pop,2017,106,50,87,8,55,202,20,69
Cut To The Feeling,Carly Rae Jepsen,Pop,2017,115,91,71,30,65,208,1,69
OK - Spotify Version,Robin Schulz,Pop,2017,122,81,65,13,58,189,12,69
Bon appétit,Katy Perry,Pop,2017,106,79,80,22,52,228,13,68
Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,Pop,2017,135,57,76,20,14,261,2,67
Get Low (with Liam Payne),Zedd,Complextro,2017,108,93,72,5,54,205,3,66
Kissing Strangers,DNCE,Pop,2017,120,74,77,9,86,202,5,66
Slow Hands,Niall Horan,Pop,2017,86,42,74,6,85,188,1,64
Younger Now,Miley Cyrus,Pop,2017,122,87,55,14,33,249,0,62
Body Moves,DNCE,Pop,2017,102,69,65,4,86,236,0,62
Reality (feat. Janieck Devy) - Radio Edit,Lost Frequencies,Electronic,2017,122,64,73,8,53,158,2,59
